A,B,C,D,E,F
560079875379,1.3,,,802632742188,0.48
500132988620,0.05,,,500132975026,17.51
500132988617,0.6,,,500132975033,1.85
500132988618,1.94,,,802633058493,0.1
500132988591,0.26,,,100348078710,0
100325343592,0.05,,,802473179971,0.15
500147982997,13.84,,,802265535890,0.34
560030067592,0.15,,,802546985062,0.15
600093478469,0.2,,,802546957387,0.06
600093478119,0.25,,,802546957037,0.1
600093478467,0.55,,,200166959767,0.48
600093478463,0.45,,,802265535890,0.34
600093478120,0.55,,,200166959759,1.35
600093478465,0.25,,,802633055194,0.14
600093478483,0.7,,,200166959774,0.4
600093478137,2.75,,,802546980651,0.05
600093478484,0.5,,,200164191768,0.05
600093478468,0.35,,,880134476707536702,0.24
600093478485,0.15,,,802546946317,0.15
600093478466,2.35,,,802720805243,0.15
600093478471,0.2,,,8968227020,0.1
600093478470,0.25,,,802720864330,0.05
600093478462,0.2,,,802265559178,0.45
600093478461,0.2,,,802546955754,0.15
600093478464,0.15,,,880134569159223671,0.45
600093478482,6.3,,,802546958520,0.15
500147999448,14.3,,,880134087166940843,0.44
600093497653,27.45,,,802546948729,0.1
500132988621,1.41,,,100348060905,0.1
100306955797,1.86,,,100348060873,0.1
100306955798,2.09,,,802473159454,0.05
500132955888,31.49,,,100325335447,0.1
100325334155,15.47,,,801919685440,0.15
500132955874,0.06,,,880133850283910540,0.6
500132955890,0.34,,,100325335584,0.4
500132955870,0.53,,,880134063185223671,0.16
500132955876,0.18,,,801919682821,0.2
500132955899,0.25,,,802546947460,0.1
500132955877,0.26,,,880134373459768025,0.3
500132955900,0.83,,,802546953578,0.25
500132955880,0.33,,,802546950850,0.25
100325334156,13.69,,,801919681621,0.15
500132955872,1.69,,,802473184490,0.14
500132955885,2.77,,,880131692933384287,0.5
500132955646,1.36,,,802546943226,0.25
500132955898,0.53,,,802473182325,0.05
500132955897,0.17,,,802473177899,0.15
500132955875,0.13,,,802546948089,0.25
500132955889,0.67,,,801919681428,0.15
100348083384,0.13,,,802473180503,0.15
100348093015,0.23,,,802473175086,0.1
100348098944,0.55,,,802473185113,0.1
100348124081,10.49,,,802265557184,0.5
500132955729,1.3,,,801919685745,0.3
500132955728,0.5,,,802265558359,0.75
500132955893,0.53,,,801919684355,0.25
500132955896,0.53,,,802473050939,0.5
500132955732,0.26,,,802546952999,0.08
500132955891,0.24,,,802546940217,0.12
500132955895,0.21,,,802546947409,0.15
500132955871,0.33,,,802546945309,0.1
500132955887,0.66,,,802473180415,0.15
500132955259,0.05,,,600037999578,1.85
500132955710,3.07,,,100348077846,0.1
500132955879,2.99,,,802546932501,0.15
500132955873,0.44,,,560079876620,0.33
500132955733,0.2,,,600093465987,0.1
500132955550,0.28,,,802546946306,0.16
500132955018,0.56,,,802546952698,0.08
500132955878,0.48,,,802367151875,0.05
500132955882,0.54,,,802546941107,0.08
100360187099,0.12,,,802367151520,0.3
500132955734,2.19,,,802473082653,0.25
500132988048,0.25,,,802546980591,0.14
500132955526,0.4,,,802546942670,0.06
500132988044,0.2,,,500132966029,0.75
500132988051,0.61,,,802546959717,0.15
500132955533,0.64,,,802546984995,0.1
500132988050,0.51,,,802546955398,0.15
500132988054,0.79,,,802546985498,0.1
200067936843,0.07,,,802473200819,0.1
500132955521,1.25,,,802473190082,0.1
500132988043,0.25,,,802473188458,0.15
500132955532,0.39,,,100348067419,0.35
500132955535,0.52,,,802546955746,0.12
500132955523,0.07,,,802473169590,0.1
100360187419,0.06,,,802473149318,0.05
100360187437,0.05,,,802546955732,0.12
500132955531,0.16,,,802546949769,0.08
500132955534,0.12,,,802367152129,0.05
500132955522,0.41,,,802473198408,0.05
560079875345,0.05,,,802473200360,0.1
500132955886,0.29,,,802473084428,0.15
500132955528,0.36,,,802546940783,0.12
100360188416,0.54,,,802473184684,0.05
560079875344,0.06,,,802473177900,0.1
500132955883,1.7,,,802473192316,0.05
500132988053,0.41,,,D00017352175,0.12
500132955884,0.38,,,802720798183,0.08
500132955892,1.28,,,802720985094,0.2
500132955894,0.16,,,100348083281,0.13
500132988619,0.58,,,802071641185,0.2
500132955881,0.65,,,802473191820,0.16
500132988508,0.08,,,802473182236,0.15
500132988501,0.39,,,802473191211,0.15
500132988495,0.46,,,802473198447,0.05
500132988504,0.12,,,802071637792,0.1
500132988493,17.55,,,880134913060859934,0.45
500132988494,0.26,,,880148354066192368,0.16
500132955527,0.3,,,802071635679,0.05
500132988113,1.77,,,802071633094,0.1
500132988492,0.34,,,801919688533,0.14
560079875346,0.08,,,802633043945,0.05
